,1,2,3,4,5,6,7,pre
352,4.8,4.5194,5.7,4.5,5.1,5.7,5.4,6.6
353,4.5194,5.7,4.5,5.1,5.7,5.4,6.6,3.9
354,5.7,4.5,5.1,5.7,5.4,6.6,3.9,4.6912
355,4.5,5.1,5.7,5.4,6.6,3.9,4.6912,5.4
356,5.1,5.7,5.4,6.6,3.9,4.6912,5.4,5.1
357,5.7,5.4,6.6,3.9,4.6912,5.4,5.1,5.4
358,5.4,6.6,3.9,4.6912,5.4,5.1,5.4,4.8
359,6.6,3.9,4.6912,5.4,5.1,5.4,4.8,5.7
360,3.9,4.6912,5.4,5.1,5.4,4.8,5.7,5.4
361,4.6912,5.4,5.1,5.4,4.8,5.7,5.4,3.6
362,5.4,5.1,5.4,4.8,5.7,5.4,3.6,4.1947
363,5.1,5.4,4.8,5.7,5.4,3.6,4.1947,5.4
364,5.4,4.8,5.7,5.4,3.6,4.1947,5.4,6.0
365,4.8,5.7,5.4,3.6,4.1947,5.4,6.0,5.7
366,5.7,5.4,3.6,4.1947,5.4,6.0,5.7,5.3049
367,5.4,3.6,4.1947,5.4,6.0,5.7,5.3049,5.1
368,3.6,4.1947,5.4,6.0,5.7,5.3049,5.1,4.2
369,4.1947,5.4,6.0,5.7,5.3049,5.1,4.2,5.1
370,5.4,6.0,5.7,5.3049,5.1,4.2,5.1,5.4
371,6.0,5.7,5.3049,5.1,4.2,5.1,5.4,6.0
372,5.7,5.3049,5.1,4.2,5.1,5.4,6.0,6.0
373,5.3049,5.1,4.2,5.1,5.4,6.0,6.0,6.3
374,5.1,4.2,5.1,5.4,6.0,6.0,6.3,5.1
375,4.2,5.1,5.4,6.0,6.0,6.3,5.1,5.4
376,5.1,5.4,6.0,6.0,6.3,5.1,5.4,6.3
377,5.4,6.0,6.0,6.3,5.1,5.4,6.3,5.1
378,6.0,6.0,6.3,5.1,5.4,6.3,5.1,3.9
379,6.0,6.3,5.1,5.4,6.3,5.1,3.9,6.9
380,6.3,5.1,5.4,6.3,5.1,3.9,6.9,5.1
