,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93
52688,0.11,0.07,0.05,0.09,0.08,0.08,0.1,0.08,1.46,1.07,0.72,1.44,0.71,0.21,0.17,0.19,0.14,0.16,0.75,2.45,4.81,3.89,3.77,4.17
53054,0.06,0.05,0.06,0.03,0.03,0.06,0.06,0.15,0.05,0.06,0.1,0.42,0.4,0.24,0.21,1.5,0.45,0.12,1.02,0.83,0.05,0.31,0.08,0.06
53420,0.4494,0.3526,0.13,0.26,0.24,0.2844,0.3013,0.3197,0.3438,0.3593,0.3605,0.83,0.76,0.11,0.33,0.97,0.08,0.56,0.39,0.73,0.33,0.32,0.462,0.5629
53811,0.05,0.05,0.09,0.03,0.04,0.06,0.07,0.03,0.04,0.29,0.18,0.01,0.02,0.28,0.08,0.33,0.35,0.35,0.25,0.36,0.12,0.1,0.06,0.04
54177,0.04,0.03,0.03,0.04,0.02,0.03,0.04,0.03,0.04,0.03,0.02,0.04,0.03,0.04,0.04,0.02,0.03,0.03,0.04,0.04,0.02,0.03,0.03,0.04
54543,1.57,0.5,0.76,0.52,0.6,0.61,1.16,0.58,0.63,0.5,0.94,0.89,0.46,0.04,0.04,0.05,0.04,0.03,0.66,0.92,0.91,0.84,0.19,0.73
54903,0.49,0.8153,0.6615,1.98,1.62,0.3,0.17,0.13,0.11,0.1,0.09,0.37,0.24,0.16,0.1,0.1,0.1,0.11,0.09,0.22,0.33,1.96,1.88,1.75
55606,0.15,1.3742,1.329,1.34,1.64,1.36,1.58,1.38,0.9531,0.8122,1.38,0.95,0.16,1.15,0.3,0.15,0.15,0.427,0.5038,0.5,0.4,0.32,1.96,1.59
56314,0.4912,0.47,0.49,0.19,0.17,0.39,0.46,0.13,0.08,0.06,0.12,0.04,0.04,0.06,0.07,0.09,0.16,0.1,0.1,0.1,0.08,0.11,0.08,0.08
57006,0.1095,0.0803,0.0657,0.05,0.05,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.47,0.27,0.11,0.06,0.07,0.06,0.07,0.06,0.1763,0.46
57372,0.54,0.56,0.86,0.08,0.06,0.04,0.07,0.04,0.06,0.04,0.06,0.04,0.07,0.04,0.07,0.08,0.1,0.12,0.47,0.48,0.51,0.6,0.5,0.46
58104,1.41,0.91,0.18,0.26,0.28,0.12,0.19,0.16,0.01,0.02,0.45,0.19,0.67,0.24,0.1,0.07,0.09,0.57,0.92,0.21,0.19,0.2,0.18,0.02
58462,0.28,0.04,0.05,0.05,0.05,0.05,0.06,0.07,0.15,0.1309,0.1445,0.1593,0.1906,0.2468,0.09,0.19,0.45,0.59,0.75,0.3777,0.3641,0.3819,0.4025,0.3925
